"Time (CET)","Day-ahead Total Load Forecast [MW] - BZN|DE-LU","Actual Total Load [MW] - BZN|DE-LU"
"22.08.2019 11:30 - 22.08.2019 11:45","63991","64018"
"22.08.2019 11:45 - 22.08.2019 12:00","64112","64202"
"22.08.2019 12:00 - 22.08.2019 12:15","63755","63782"
"22.08.2019 12:15 - 22.08.2019 12:30","63564","63835"
"22.08.2019 12:30 - 22.08.2019 12:45","63456","63428"
"22.08.2019 12:45 - 22.08.2019 13:00","63406","63430"
"22.08.2019 13:00 - 22.08.2019 13:15","63249","63380"
"22.08.2019 13:15 - 22.08.2019 13:30","63105","63236"
"22.08.2019 13:30 - 22.08.2019 13:45","62862","63073"
"22.08.2019 13:45 - 22.08.2019 14:00","62410","62490"
"22.08.2019 14:00 - 22.08.2019 14:15","62484","62296"
"22.08.2019 14:15 - 22.08.2019 14:30","62399","62155"
"22.08.2019 14:30 - 22.08.2019 14:45","62137","61795"
"22.08.2019 14:45 - 22.08.2019 15:00","61823","61499"
"22.08.2019 15:00 - 22.08.2019 15:15","61630","61866"
"22.08.2019 15:15 - 22.08.2019 15:30","61215","61698"
"22.08.2019 15:30 - 22.08.2019 15:45","60837","61021"
"22.08.2019 15:45 - 22.08.2019 16:00","60451","60346"
"22.08.2019 16:00 - 22.08.2019 16:15","60139","60458"
"22.08.2019 16:15 - 22.08.2019 16:30","59663","59982"
"22.08.2019 16:30 - 22.08.2019 16:45","59339","59456"
"22.08.2019 16:45 - 22.08.2019 17:00","59231","59221"
"22.08.2019 17:00 - 22.08.2019 17:15","59167","59498"
"22.08.2019 17:15 - 22.08.2019 17:30","59257","59090"
"22.08.2019 17:30 - 22.08.2019 17:45","59416","58904"
"22.08.2019 17:45 - 22.08.2019 18:00","59333","58764"
"22.08.2019 18:00 - 22.08.2019 18:15","59151","58753"
"22.08.2019 18:15 - 22.08.2019 18:30","58637","58284"
"22.08.2019 18:30 - 22.08.2019 18:45","58314","58118"
"22.08.2019 18:45 - 22.08.2019 19:00","58262","57950"
"22.08.2019 19:00 - 22.08.2019 19:15","57945","57563"
"22.08.2019 19:15 - 22.08.2019 19:30","57852","56744"
"22.08.2019 19:30 - 22.08.2019 19:45","57557","56325"
"22.08.2019 19:45 - 22.08.2019 20:00","57318","55907"
"22.08.2019 20:00 - 22.08.2019 20:15","56610","55235"
"22.08.2019 20:15 - 22.08.2019 20:30","55998","54925"
"22.08.2019 20:30 - 22.08.2019 20:45","55548","55236"
"22.08.2019 20:45 - 22.08.2019 21:00","55290","55470"
"22.08.2019 21:00 - 22.08.2019 21:15","54736","54958"
"22.08.2019 21:15 - 22.08.2019 21:30","53934","54206"
"22.08.2019 21:30 - 22.08.2019 21:45","53110","53470"
"22.08.2019 21:45 - 22.08.2019 22:00","52426","52443"
"22.08.2019 22:00 - 22.08.2019 22:15","51862","51426"
"22.08.2019 22:15 - 22.08.2019 22:30","50818","50650"
"22.08.2019 22:30 - 22.08.2019 22:45","49775","49413"
"22.08.2019 22:45 - 22.08.2019 23:00","48832","48463"
"22.08.2019 23:00 - 22.08.2019 23:15","47783","47656"
"22.08.2019 23:15 - 22.08.2019 23:30","46992","47129"
"22.08.2019 23:30 - 22.08.2019 23:45","46266","46332"
"22.08.2019 23:45 - 23.08.2019 00:00","45637","45744"
"23.08.2019 00:00 - 23.08.2019 00:15","44483","44626"
"23.08.2019 00:15 - 23.08.2019 00:30","44025","43939"
"23.08.2019 00:30 - 23.08.2019 00:45","43562","43519"
"23.08.2019 00:45 - 23.08.2019 01:00","43174","43336"
"23.08.2019 01:00 - 23.08.2019 01:15","43017","42779"
"23.08.2019 01:15 - 23.08.2019 01:30","42508","42209"
"23.08.2019 01:30 - 23.08.2019 01:45","41961","41987"
"23.08.2019 01:45 - 23.08.2019 02:00","42103","41758"
"23.08.2019 02:00 - 23.08.2019 02:15","41308","41212"
"23.08.2019 02:15 - 23.08.2019 02:30","41127","41114"
"23.08.2019 02:30 - 23.08.2019 02:45","41022","41019"
"23.08.2019 02:45 - 23.08.2019 03:00","41059","41249"
"23.08.2019 03:00 - 23.08.2019 03:15","41106","41237"
"23.08.2019 03:15 - 23.08.2019 03:30","41231","41133"
"23.08.2019 03:30 - 23.08.2019 03:45","41234","41230"
"23.08.2019 03:45 - 23.08.2019 04:00","41303","41485"
"23.08.2019 04:00 - 23.08.2019 04:15","41703","41865"
"23.08.2019 04:15 - 23.08.2019 04:30","42052","42195"
"23.08.2019 04:30 - 23.08.2019 04:45","42499","42373"
"23.08.2019 04:45 - 23.08.2019 05:00","43036","43113"
"23.08.2019 05:00 - 23.08.2019 05:15","44340","44407"
"23.08.2019 05:15 - 23.08.2019 05:30","44976","44885"
"23.08.2019 05:30 - 23.08.2019 05:45","45956","45964"
"23.08.2019 05:45 - 23.08.2019 06:00","47363","47621"
"23.08.2019 06:00 - 23.08.2019 06:15","49854","49849"
"23.08.2019 06:15 - 23.08.2019 06:30","51491","51344"
"23.08.2019 06:30 - 23.08.2019 06:45","52843","52738"
"23.08.2019 06:45 - 23.08.2019 07:00","53971","53781"
"23.08.2019 07:00 - 23.08.2019 07:15","55286","55287"
"23.08.2019 07:15 - 23.08.2019 07:30","56393","56233"
"23.08.2019 07:30 - 23.08.2019 07:45","56697","57451"
"23.08.2019 07:45 - 23.08.2019 08:00","57623","58376"
"23.08.2019 08:00 - 23.08.2019 08:15","58645","58874"
"23.08.2019 08:15 - 23.08.2019 08:30","59326","59192"
"23.08.2019 08:30 - 23.08.2019 08:45","59725","59671"
"23.08.2019 08:45 - 23.08.2019 09:00","59974","60243"
"23.08.2019 09:00 - 23.08.2019 09:15","60124","60610"
"23.08.2019 09:15 - 23.08.2019 09:30","60536","60996"
"23.08.2019 09:30 - 23.08.2019 09:45","61317","61651"
"23.08.2019 09:45 - 23.08.2019 10:00","62018","62185"
"23.08.2019 10:00 - 23.08.2019 10:15","62035","62548"
"23.08.2019 10:15 - 23.08.2019 10:30","62453","63089"
"23.08.2019 10:30 - 23.08.2019 10:45","62912","63574"
"23.08.2019 10:45 - 23.08.2019 11:00","63150","64126"
"23.08.2019 11:00 - 23.08.2019 11:15","63313","64305"
"23.08.2019 11:15 - 23.08.2019 11:30","63593","64478"
"23.08.2019 11:30 - 23.08.2019 11:45","63748","64698"
"23.08.2019 11:45 - 23.08.2019 12:00","63936","64523"
"23.08.2019 12:00 - 23.08.2019 12:15","63608","63608"
"23.08.2019 12:15 - 23.08.2019 12:30","63314","63240"
"23.08.2019 12:30 - 23.08.2019 12:45","63003","63187"
"23.08.2019 12:45 - 23.08.2019 13:00","62631","62885"
"23.08.2019 13:00 - 23.08.2019 13:15","62501","62800"
"23.08.2019 13:15 - 23.08.2019 13:30","62248","62425"
"23.08.2019 13:30 - 23.08.2019 13:45","61779","62144"
"23.08.2019 13:45 - 23.08.2019 14:00","60987","61673"
"23.08.2019 14:00 - 23.08.2019 14:15","60575","61286"
"23.08.2019 14:15 - 23.08.2019 14:30","60408","61043"
"23.08.2019 14:30 - 23.08.2019 14:45","60079","60745"
"23.08.2019 14:45 - 23.08.2019 15:00","59705","60325"
"23.08.2019 15:00 - 23.08.2019 15:15","59636","60342"
"23.08.2019 15:15 - 23.08.2019 15:30","59322","59901"
"23.08.2019 15:30 - 23.08.2019 15:45","59067","59463"
"23.08.2019 15:45 - 23.08.2019 16:00","58535","59240"
"23.08.2019 16:00 - 23.08.2019 16:15","58402","59435"
"23.08.2019 16:15 - 23.08.2019 16:30","58027","58995"
"23.08.2019 16:30 - 23.08.2019 16:45","57849","58449"
"23.08.2019 16:45 - 23.08.2019 17:00","57662","58335"
"23.08.2019 17:00 - 23.08.2019 17:15","57709","58480"
"23.08.2019 17:15 - 23.08.2019 17:30","57587","58194"
"23.08.2019 17:30 - 23.08.2019 17:45","57335","57972"
"23.08.2019 17:45 - 23.08.2019 18:00","57153","57572"
"23.08.2019 18:00 - 23.08.2019 18:15","56929","57168"
"23.08.2019 18:15 - 23.08.2019 18:30","56752","56812"
"23.08.2019 18:30 - 23.08.2019 18:45","56574","56523"
"23.08.2019 18:45 - 23.08.2019 19:00","56379","56335"
"23.08.2019 19:00 - 23.08.2019 19:15","56036","55599"
"23.08.2019 19:15 - 23.08.2019 19:30","55438","54901"
"23.08.2019 19:30 - 23.08.2019 19:45","55099","54830"
"23.08.2019 19:45 - 23.08.2019 20:00","54822","54511"
"23.08.2019 20:00 - 23.08.2019 20:15","54077","53793"
"23.08.2019 20:15 - 23.08.2019 20:30","53661","53284"
"23.08.2019 20:30 - 23.08.2019 20:45","53191","53321"
"23.08.2019 20:45 - 23.08.2019 21:00","52824","53308"
"23.08.2019 21:00 - 23.08.2019 21:15","52340","52894"
"23.08.2019 21:15 - 23.08.2019 21:30","51654","52162"
"23.08.2019 21:30 - 23.08.2019 21:45","50882","51315"
"23.08.2019 21:45 - 23.08.2019 22:00","50082","50196"
"23.08.2019 22:00 - 23.08.2019 22:15","49617","49088"
"23.08.2019 22:15 - 23.08.2019 22:30","48739","48599"
"23.08.2019 22:30 - 23.08.2019 22:45","47738","47796"
"23.08.2019 22:45 - 23.08.2019 23:00","47005","46971"
"23.08.2019 23:00 - 23.08.2019 23:15","46182","46341"
"23.08.2019 23:15 - 23.08.2019 23:30","45469","45612"
"23.08.2019 23:30 - 23.08.2019 23:45","44743","44948"
"23.08.2019 23:45 - 24.08.2019 00:00","44178","44440"
"24.08.2019 00:00 - 24.08.2019 00:15","43371","43601"
"24.08.2019 00:15 - 24.08.2019 00:30","43079","43530"
"24.08.2019 00:30 - 24.08.2019 00:45","42637","43168"
"24.08.2019 00:45 - 24.08.2019 01:00","42162","42710"
"24.08.2019 01:00 - 24.08.2019 01:15","42063","41780"
"24.08.2019 01:15 - 24.08.2019 01:30","41500","41238"
"24.08.2019 01:30 - 24.08.2019 01:45","40859","40971"
"24.08.2019 01:45 - 24.08.2019 02:00","40860","40585"
"24.08.2019 02:00 - 24.08.2019 02:15","40137","39903"
"24.08.2019 02:15 - 24.08.2019 02:30","39868","39709"
"24.08.2019 02:30 - 24.08.2019 02:45","39608","39662"
"24.08.2019 02:45 - 24.08.2019 03:00","39513","39330"
"24.08.2019 03:00 - 24.08.2019 03:15","39336","39236"
"24.08.2019 03:15 - 24.08.2019 03:30","39307","39167"
"24.08.2019 03:30 - 24.08.2019 03:45","39207","39024"
"24.08.2019 03:45 - 24.08.2019 04:00","39073","39132"
"24.08.2019 04:00 - 24.08.2019 04:15","39146","39058"
"24.08.2019 04:15 - 24.08.2019 04:30","39177","39101"
"24.08.2019 04:30 - 24.08.2019 04:45","39192","39058"
"24.08.2019 04:45 - 24.08.2019 05:00","39254","39021"
"24.08.2019 05:00 - 24.08.2019 05:15","39587","39419"
"24.08.2019 05:15 - 24.08.2019 05:30","39578","39550"
"24.08.2019 05:30 - 24.08.2019 05:45","39621","39605"
"24.08.2019 05:45 - 24.08.2019 06:00","39822","39902"
"24.08.2019 06:00 - 24.08.2019 06:15","40279","40688"
"24.08.2019 06:15 - 24.08.2019 06:30","40645","40638"
"24.08.2019 06:30 - 24.08.2019 06:45","41080","41099"
"24.08.2019 06:45 - 24.08.2019 07:00","41410","41747"
"24.08.2019 07:00 - 24.08.2019 07:15","42366","43001"
"24.08.2019 07:15 - 24.08.2019 07:30","43127","43970"
"24.08.2019 07:30 - 24.08.2019 07:45","44213","44910"
"24.08.2019 07:45 - 24.08.2019 08:00","45110","46064"
"24.08.2019 08:00 - 24.08.2019 08:15","46517","47186"
"24.08.2019 08:15 - 24.08.2019 08:30","47511","48131"
"24.08.2019 08:30 - 24.08.2019 08:45","48405","48920"
"24.08.2019 08:45 - 24.08.2019 09:00","49120","49729"
"24.08.2019 09:00 - 24.08.2019 09:15","49969","50525"
"24.08.2019 09:15 - 24.08.2019 09:30","50582","51077"
"24.08.2019 09:30 - 24.08.2019 09:45","51379","51528"
"24.08.2019 09:45 - 24.08.2019 10:00","51989","52083"
"24.08.2019 10:00 - 24.08.2019 10:15","52462","52253"
"24.08.2019 10:15 - 24.08.2019 10:30","52775","52410"
"24.08.2019 10:30 - 24.08.2019 10:45","53027","52944"
"24.08.2019 10:45 - 24.08.2019 11:00","53270","53189"
"24.08.2019 11:00 - 24.08.2019 11:15","53597","53510"
"24.08.2019 11:15 - 24.08.2019 11:30","54017","53886"
"24.08.2019 11:30 - 24.08.2019 11:45","54342","54480"
"24.08.2019 11:45 - 24.08.2019 12:00","54504","54495"
"24.08.2019 12:00 - 24.08.2019 12:15","54247","54171"
"24.08.2019 12:15 - 24.08.2019 12:30","53854","54042"
"24.08.2019 12:30 - 24.08.2019 12:45","53500","53630"
"24.08.2019 12:45 - 24.08.2019 13:00","52948","53158"
"24.08.2019 13:00 - 24.08.2019 13:15","52145","52631"
"24.08.2019 13:15 - 24.08.2019 13:30","51851","52484"
"24.08.2019 13:30 - 24.08.2019 13:45","51628","52280"
"24.08.2019 13:45 - 24.08.2019 14:00","51283","51813"
"24.08.2019 14:00 - 24.08.2019 14:15","50954","51150"
"24.08.2019 14:15 - 24.08.2019 14:30","50524","51065"
"24.08.2019 14:30 - 24.08.2019 14:45","50289","50699"
"24.08.2019 14:45 - 24.08.2019 15:00","50113","50189"
"24.08.2019 15:00 - 24.08.2019 15:15","49845","50429"
"24.08.2019 15:15 - 24.08.2019 15:30","49571","50377"
"24.08.2019 15:30 - 24.08.2019 15:45","49489","50091"
"24.08.2019 15:45 - 24.08.2019 16:00","49336","49606"
"24.08.2019 16:00 - 24.08.2019 16:15","49360","49669"
"24.08.2019 16:15 - 24.08.2019 16:30","49273","49485"
"24.08.2019 16:30 - 24.08.2019 16:45","49160","49307"
"24.08.2019 16:45 - 24.08.2019 17:00","49025","49019"
"24.08.2019 17:00 - 24.08.2019 17:15","49247","49564"
"24.08.2019 17:15 - 24.08.2019 17:30","49346","49394"
"24.08.2019 17:30 - 24.08.2019 17:45","49445","49577"
"24.08.2019 17:45 - 24.08.2019 18:00","49440","49617"
"24.08.2019 18:00 - 24.08.2019 18:15","49632","49707"
"24.08.2019 18:15 - 24.08.2019 18:30","49483","49502"
"24.08.2019 18:30 - 24.08.2019 18:45","49391","49441"
"24.08.2019 18:45 - 24.08.2019 19:00","49109","49340"
"24.08.2019 19:00 - 24.08.2019 19:15","49111","49675"
"24.08.2019 19:15 - 24.08.2019 19:30","48678","49558"
"24.08.2019 19:30 - 24.08.2019 19:45","48507","49174"
"24.08.2019 19:45 - 24.08.2019 20:00","48181","48236"
"24.08.2019 20:00 - 24.08.2019 20:15","47727","47668"
"24.08.2019 20:15 - 24.08.2019 20:30","47085","47327"
"24.08.2019 20:30 - 24.08.2019 20:45","46829","47777"
"24.08.2019 20:45 - 24.08.2019 21:00","46501","47761"
"24.08.2019 21:00 - 24.08.2019 21:15","46139","47699"
"24.08.2019 21:15 - 24.08.2019 21:30","45680","47188"
"24.08.2019 21:30 - 24.08.2019 21:45","45191","46964"
"24.08.2019 21:45 - 24.08.2019 22:00","44754","46292"
"24.08.2019 22:00 - 24.08.2019 22:15","44574","45943"
"24.08.2019 22:15 - 24.08.2019 22:30","43793","45368"
"24.08.2019 22:30 - 24.08.2019 22:45","43233","44601"
"24.08.2019 22:45 - 24.08.2019 23:00","42747","43792"
"24.08.2019 23:00 - 24.08.2019 23:15","42033","42350"
"24.08.2019 23:15 - 24.08.2019 23:30","41494","41767"
"24.08.2019 23:30 - 24.08.2019 23:45","40941","41377"
"24.08.2019 23:45 - 25.08.2019 00:00","40432","40656"
"25.08.2019 00:00 - 25.08.2019 00:15","39222","39773"
"25.08.2019 00:15 - 25.08.2019 00:30","38758","39307"
"25.08.2019 00:30 - 25.08.2019 00:45","38225","38608"
"25.08.2019 00:45 - 25.08.2019 01:00","37799","38228"
"25.08.2019 01:00 - 25.08.2019 01:15","37507","37684"
"25.08.2019 01:15 - 25.08.2019 01:30","36967","37056"
"25.08.2019 01:30 - 25.08.2019 01:45","36416","36882"
"25.08.2019 01:45 - 25.08.2019 02:00","36545","36853"
"25.08.2019 02:00 - 25.08.2019 02:15","35884","36355"
"25.08.2019 02:15 - 25.08.2019 02:30","35698","36030"
"25.08.2019 02:30 - 25.08.2019 02:45","35457","35683"
"25.08.2019 02:45 - 25.08.2019 03:00","35293","35689"
"25.08.2019 03:00 - 25.08.2019 03:15","35243","35645"
"25.08.2019 03:15 - 25.08.2019 03:30","35187","35546"
"25.08.2019 03:30 - 25.08.2019 03:45","34993","35642"
"25.08.2019 03:45 - 25.08.2019 04:00","34937","35627"
"25.08.2019 04:00 - 25.08.2019 04:15","35008","35449"
"25.08.2019 04:15 - 25.08.2019 04:30","35030","35472"
"25.08.2019 04:30 - 25.08.2019 04:45","35011","35386"
"25.08.2019 04:45 - 25.08.2019 05:00","35132","35246"
"25.08.2019 05:00 - 25.08.2019 05:15","35452","35647"
"25.08.2019 05:15 - 25.08.2019 05:30","35486","35625"
"25.08.2019 05:30 - 25.08.2019 05:45","35493","35726"
"25.08.2019 05:45 - 25.08.2019 06:00","35529","35485"
"25.08.2019 06:00 - 25.08.2019 06:15","35744","36033"
"25.08.2019 06:15 - 25.08.2019 06:30","35889","35600"
"25.08.2019 06:30 - 25.08.2019 06:45","36037","35853"
"25.08.2019 06:45 - 25.08.2019 07:00","36421","36313"
"25.08.2019 07:00 - 25.08.2019 07:15","36908","37284"
"25.08.2019 07:15 - 25.08.2019 07:30","37367","37974"
"25.08.2019 07:30 - 25.08.2019 07:45","38258","38844"
"25.08.2019 07:45 - 25.08.2019 08:00","39168","39657"
"25.08.2019 08:00 - 25.08.2019 08:15","40325","40588"
"25.08.2019 08:15 - 25.08.2019 08:30","41266","41446"
"25.08.2019 08:30 - 25.08.2019 08:45","42170","42320"
"25.08.2019 08:45 - 25.08.2019 09:00","43161","42860"
"25.08.2019 09:00 - 25.08.2019 09:15","44105","43575"
"25.08.2019 09:15 - 25.08.2019 09:30","45119","44294"
"25.08.2019 09:30 - 25.08.2019 09:45","46195","44941"
"25.08.2019 09:45 - 25.08.2019 10:00","46955","45683"
"25.08.2019 10:00 - 25.08.2019 10:15","47534","46136"
"25.08.2019 10:15 - 25.08.2019 10:30","48185","46674"
"25.08.2019 10:30 - 25.08.2019 10:45","48763","47027"
"25.08.2019 10:45 - 25.08.2019 11:00","49354","47585"
"25.08.2019 11:00 - 25.08.2019 11:15","49928","48160"
"25.08.2019 11:15 - 25.08.2019 11:30","50615","48549"
"25.08.2019 11:30 - 25.08.2019 11:45","50953","49002"
"25.08.2019 11:45 - 25.08.2019 12:00","51115","49230"
"25.08.2019 12:00 - 25.08.2019 12:15","50950","49352"
"25.08.2019 12:15 - 25.08.2019 12:30","50774","49272"
"25.08.2019 12:30 - 25.08.2019 12:45","50302","49088"
"25.08.2019 12:45 - 25.08.2019 13:00","50166","48986"
"25.08.2019 13:00 - 25.08.2019 13:15","49571","48622"
"25.08.2019 13:15 - 25.08.2019 13:30","49170","48263"
"25.08.2019 13:30 - 25.08.2019 13:45","48873","47724"
"25.08.2019 13:45 - 25.08.2019 14:00","48281","47445"
"25.08.2019 14:00 - 25.08.2019 14:15","48028","47193"
"25.08.2019 14:15 - 25.08.2019 14:30","47820","46999"
"25.08.2019 14:30 - 25.08.2019 14:45","47404","46800"
"25.08.2019 14:45 - 25.08.2019 15:00","47275","46366"
"25.08.2019 15:00 - 25.08.2019 15:15","47133","46508"
"25.08.2019 15:15 - 25.08.2019 15:30","46818","46172"
"25.08.2019 15:30 - 25.08.2019 15:45","46608","46061"
"25.08.2019 15:45 - 25.08.2019 16:00","46364","45982"
"25.08.2019 16:00 - 25.08.2019 16:15","46341","45826"
"25.08.2019 16:15 - 25.08.2019 16:30","46297","45484"
"25.08.2019 16:30 - 25.08.2019 16:45","46483","45542"
"25.08.2019 16:45 - 25.08.2019 17:00","46245","45628"
"25.08.2019 17:00 - 25.08.2019 17:15","46674","46386"
"25.08.2019 17:15 - 25.08.2019 17:30","46618","46375"
"25.08.2019 17:30 - 25.08.2019 17:45","46598","46430"
"25.08.2019 17:45 - 25.08.2019 18:00","46668","46652"
"25.08.2019 18:00 - 25.08.2019 18:15","47216","47384"
"25.08.2019 18:15 - 25.08.2019 18:30","47127","47638"
"25.08.2019 18:30 - 25.08.2019 18:45","47343","47383"
"25.08.2019 18:45 - 25.08.2019 19:00","47199","47544"
"25.08.2019 19:00 - 25.08.2019 19:15","47170","47702"
"25.08.2019 19:15 - 25.08.2019 19:30","46782","47586"
"25.08.2019 19:30 - 25.08.2019 19:45","46784","47471"
"25.08.2019 19:45 - 25.08.2019 20:00","46676","47485"
"25.08.2019 20:00 - 25.08.2019 20:15","46741","47300"
"25.08.2019 20:15 - 25.08.2019 20:30","46561","47526"
"25.08.2019 20:30 - 25.08.2019 20:45","46520","48045"
"25.08.2019 20:45 - 25.08.2019 21:00","46506","48193"
"25.08.2019 21:00 - 25.08.2019 21:15","46426","48155"
"25.08.2019 21:15 - 25.08.2019 21:30","46070","47574"
"25.08.2019 21:30 - 25.08.2019 21:45","45717","47257"
"25.08.2019 21:45 - 25.08.2019 22:00","45833","47104"
"25.08.2019 22:00 - 25.08.2019 22:15","45838","47010"
"25.08.2019 22:15 - 25.08.2019 22:30","45162","46575"
"25.08.2019 22:30 - 25.08.2019 22:45","44529","46030"
"25.08.2019 22:45 - 25.08.2019 23:00","43911","45462"
"25.08.2019 23:00 - 25.08.2019 23:15","43085","44624"
"25.08.2019 23:15 - 25.08.2019 23:30","42464","44074"
"25.08.2019 23:30 - 25.08.2019 23:45","41912","43672"
"25.08.2019 23:45 - 26.08.2019 00:00","41581","43267"
"26.08.2019 00:00 - 26.08.2019 00:15","41031","42971"
"26.08.2019 00:15 - 26.08.2019 00:30","40678","42631"
"26.08.2019 00:30 - 26.08.2019 00:45","40299","42025"
"26.08.2019 00:45 - 26.08.2019 01:00","40001","41810"
"26.08.2019 01:00 - 26.08.2019 01:15","39943","41301"
"26.08.2019 01:15 - 26.08.2019 01:30","39529","41073"
"26.08.2019 01:30 - 26.08.2019 01:45","39127","40804"
"26.08.2019 01:45 - 26.08.2019 02:00","39196","40673"
"26.08.2019 02:00 - 26.08.2019 02:15","38649","40285"
"26.08.2019 02:15 - 26.08.2019 02:30","38617","40241"
"26.08.2019 02:30 - 26.08.2019 02:45","38541","40313"
"26.08.2019 02:45 - 26.08.2019 03:00","38536","40104"
"26.08.2019 03:00 - 26.08.2019 03:15","38590","39737"
"26.08.2019 03:15 - 26.08.2019 03:30","38723","39858"
"26.08.2019 03:30 - 26.08.2019 03:45","38756","39654"
"26.08.2019 03:45 - 26.08.2019 04:00","38836","39724"
"26.08.2019 04:00 - 26.08.2019 04:15","39312","40464"
"26.08.2019 04:15 - 26.08.2019 04:30","39629","40780"
"26.08.2019 04:30 - 26.08.2019 04:45","40096","41397"
"26.08.2019 04:45 - 26.08.2019 05:00","40636","41972"
"26.08.2019 05:00 - 26.08.2019 05:15","42144","43640"
"26.08.2019 05:15 - 26.08.2019 05:30","42885","44637"
"26.08.2019 05:30 - 26.08.2019 05:45","44045","45932"
"26.08.2019 05:45 - 26.08.2019 06:00","45855","47592"
"26.08.2019 06:00 - 26.08.2019 06:15","48933","50496"
"26.08.2019 06:15 - 26.08.2019 06:30","51087","52115"
"26.08.2019 06:30 - 26.08.2019 06:45","52693","53297"
"26.08.2019 06:45 - 26.08.2019 07:00","53911","54524"
"26.08.2019 07:00 - 26.08.2019 07:15","55442","56010"
"26.08.2019 07:15 - 26.08.2019 07:30","56658","57015"
"26.08.2019 07:30 - 26.08.2019 07:45","57604","58184"
"26.08.2019 07:45 - 26.08.2019 08:00","58602","59331"
"26.08.2019 08:00 - 26.08.2019 08:15","59640","60137"
"26.08.2019 08:15 - 26.08.2019 08:30","60183","61009"
"26.08.2019 08:30 - 26.08.2019 08:45","60534","61640"
"26.08.2019 08:45 - 26.08.2019 09:00","60715","62070"
"26.08.2019 09:00 - 26.08.2019 09:15","60556","62316"
"26.08.2019 09:15 - 26.08.2019 09:30","61087","62777"
"26.08.2019 09:30 - 26.08.2019 09:45","61610","63526"
"26.08.2019 09:45 - 26.08.2019 10:00","62538","63813"
"26.08.2019 10:00 - 26.08.2019 10:15","62963","64263"
"26.08.2019 10:15 - 26.08.2019 10:30","63169","64796"
"26.08.2019 10:30 - 26.08.2019 10:45","63583","65386"
"26.08.2019 10:45 - 26.08.2019 11:00","63937","65934"
"26.08.2019 11:00 - 26.08.2019 11:15","64184","66173"
"26.08.2019 11:15 - 26.08.2019 11:30","64571","66837"
"26.08.2019 11:30 - 26.08.2019 11:45","64877","67225"
"26.08.2019 11:45 - 26.08.2019 12:00","65125","67313"
"26.08.2019 12:00 - 26.08.2019 12:15","64827","66792"
"26.08.2019 12:15 - 26.08.2019 12:30","64841","66745"
"26.08.2019 12:30 - 26.08.2019 12:45","64777","66721"
"26.08.2019 12:45 - 26.08.2019 13:00","64659","67024"
"26.08.2019 13:00 - 26.08.2019 13:15","64549","66933"
"26.08.2019 13:15 - 26.08.2019 13:30","64441","66897"
"26.08.2019 13:30 - 26.08.2019 13:45","64077","67004"
"26.08.2019 13:45 - 26.08.2019 14:00","63409","66161"
"26.08.2019 14:00 - 26.08.2019 14:15","63313","65823"
"26.08.2019 14:15 - 26.08.2019 14:30","63349","65909"
"26.08.2019 14:30 - 26.08.2019 14:45","63343","65486"
"26.08.2019 14:45 - 26.08.2019 15:00","63061","65145"
"26.08.2019 15:00 - 26.08.2019 15:15","62809","65074"
"26.08.2019 15:15 - 26.08.2019 15:30","62550","64845"
"26.08.2019 15:30 - 26.08.2019 15:45","62220","64661"
"26.08.2019 15:45 - 26.08.2019 16:00","61485","63984"
"26.08.2019 16:00 - 26.08.2019 16:15","61167","63656"
"26.08.2019 16:15 - 26.08.2019 16:30","60733","63362"
"26.08.2019 16:30 - 26.08.2019 16:45","60438","62811"
"26.08.2019 16:45 - 26.08.2019 17:00","60151","62582"
"26.08.2019 17:00 - 26.08.2019 17:15","60283","62692"
"26.08.2019 17:15 - 26.08.2019 17:30","60130","62557"
"26.08.2019 17:30 - 26.08.2019 17:45","60041","62613"
"26.08.2019 17:45 - 26.08.2019 18:00","59826","62552"
"26.08.2019 18:00 - 26.08.2019 18:15","59349","61666"
"26.08.2019 18:15 - 26.08.2019 18:30","59247","61054"
"26.08.2019 18:30 - 26.08.2019 18:45","59117","61099"
"26.08.2019 18:45 - 26.08.2019 19:00","58966","60687"
"26.08.2019 19:00 - 26.08.2019 19:15","58738","59996"
"26.08.2019 19:15 - 26.08.2019 19:30","58142","59225"
"26.08.2019 19:30 - 26.08.2019 19:45","57838","59122"
"26.08.2019 19:45 - 26.08.2019 20:00","57469","58650"
"26.08.2019 20:00 - 26.08.2019 20:15","57009","58713"
"26.08.2019 20:15 - 26.08.2019 20:30","56392","58522"
"26.08.2019 20:30 - 26.08.2019 20:45","56190","58876"
"26.08.2019 20:45 - 26.08.2019 21:00","55705","58952"
"26.08.2019 21:00 - 26.08.2019 21:15","55215","58288"
"26.08.2019 21:15 - 26.08.2019 21:30","54325","57379"
"26.08.2019 21:30 - 26.08.2019 21:45","53486","55934"
"26.08.2019 21:45 - 26.08.2019 22:00","52626","55143"
"26.08.2019 22:00 - 26.08.2019 22:15","52152","54309"
"26.08.2019 22:15 - 26.08.2019 22:30","51154","53447"
"26.08.2019 22:30 - 26.08.2019 22:45","50104","52403"
"26.08.2019 22:45 - 26.08.2019 23:00","49167","51528"
"26.08.2019 23:00 - 26.08.2019 23:15","48154","50507"
"26.08.2019 23:15 - 26.08.2019 23:30","47414","49928"
"26.08.2019 23:30 - 26.08.2019 23:45","46668","49044"
"26.08.2019 23:45 - 27.08.2019 00:00","46147","48458"
"27.08.2019 00:00 - 27.08.2019 00:15","45111","47772"
